URL,Version,Status,OIDs,Name,Title,Description,Used
https://terminologia.saude.gov.br/fhir/CodeSystem/BRElegibilidadeImunobiologico,1.1.0,active,,BRElegibilidadeImunobiologico,BRElegibilidadeImunobiologico,"","ValueSet/BRElegibilidadeImunobiologico"
https://terminologia.saude.gov.br/fhir/CodeSystem/BREstrategiaVacinacao,1.1.0,active,,BREstrategiaVacinacao,BREstrategiaVacinacao,"","ValueSet/BREstrategiaVacinacao"
https://terminologia.saude.gov.br/fhir/CodeSystem/BREtniaIndigena,1.1.0,active,,BREtniaIndigena,BREtniaIndigena,"","ValueSet/BREtniaIndigena"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRFabricantePNI,1.1.0,active,,BRFabricantePNI,BRFabricantePNI,"","ValueSet/BRFabricanteImunobiologico"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRFormaOrganizacaoTabelaSUS,1.1.0,active,,BRFormaOrganizacaoTabelaSUS,BRFormaOrganizacaoTabelaSUS,"","ValueSet/BRFormaOrganizacaoTabelaSUS"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRHPVInterpretacao,1.1.0,active,,BRHPVInterpretacao,BRHPVInterpretacao,"","ValueSet/BRHPVInterpretacao"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRImunobiologico,1.1.0,active,,BRImunobiologico,BRImunobiologico,"","ValueSet/BRAlergenos,ValueSet/BRImunobiologico"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRInstalacoesFisicas,1.1.0,active,,BRInstalacoesFisicas,BRInstalacoesFisicas,"","ValueSet/BRInstalacoesFisicas"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRJustificativaIndividuoNaoIdentificado,1.1.0,active,,BRJustificativaIndividuoNaoIdentificado,BRJustificativaIndividuoNaoIdentificado,"","ValueSet/BRJustificativaIndividuoNaoIdentificado"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRLocalAfericao,1.1.0,active,,BRLocalAfericao,BRLocalAfericao,"","ValueSet/BRLocalAfericao"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRLocalAplicacao,1.1.0,active,,BRLocalAplicacao,BRLocalAplicacao,"","ValueSet/BRLocalAplicacao"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRMedDRA,1.1.0,active,,BRMedDRA,BRMedDRA,"","ValueSet/BRReacoesAdversasMedDRA"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRMedicamento,1.1.0,active,,BRMedicamento,BRMedicamento,"","ValueSet/BRAlergenos"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRModalidadeAssistencial,1.1.0,active,,BRModalidadeAssistencial,BRModalidadeAssistencial,"","ValueSet/BRModalidadeAssistencial,ValueSet/BRModalidadeAssistencialMIRA"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRModalidadeFinanceira,1.1.0,active,,BRModalidadeFinanceira,BRModalidadeFinanceira,"","ValueSet/BRModalidadeFinanceira"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRMotivoDesfecho,1.1.0,active,,BRMotivoDesfecho,BRMotivoDesfecho,"","ValueSet/BRMotivoDesfecho"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRMotivoProcedimentoNaoRealizado,1.1.0,active,,BRMotivoProcedimentoNaoRealizado,BRMotivoProcedimentoNaoRealizado,"","ValueSet/BRMotivoProcedimentoNaoRealizado"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRMotivoRealizacaoExame,1.1.0,active,,BRMotivoRealizacaoExame,BRMotivoRealizacaoExame,"","ValueSet/BRMotivoRealizacaoExame"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRNomeExameGAL,1.1.0,active,,BRNomeExameGAL,BRNomeExameGAL,"","ValueSet/BRNomeExame"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRNomeExameLOINC,1.1.0,active,,BRNomeExameLOINC,BRNomeExameLOINC,"","ValueSet/BRNomeExameLOINC,ValueSet/BRNomeExameTRCOVID19LOINC"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRObmCATMAT,1.1.0,active,,BRObmCATMAT,BRObmCATMAT,"","ValueSet/BRTerminologiaMedicamento"
https://terminologia.saude.gov.br/fhir/CodeSystem/BROrgaoExpedidor,1.1.0,active,,BROrgaoExpedidor,BROrgaoExpedidor,"","ValueSet/BROrgaoExpedidor"
https://terminologia.saude.gov.br/fhir/CodeSystem/BROrtesesProtesesImplantaveis,1.1.0,active,,BROrtesesProtesesImplantaveis,BROrtesesProtesesImplantaveis,"","ValueSet/BROrtesesProtesesImplantaveis"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRPais,1.1.0,active,,BRPais,BRPais,"","ValueSet/BRPais"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRParentesco,1.1.0,active,,BRParentesco,BRParentesco,"","ValueSet/BRParentesco"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRPopulacaoTradicional,1.1.0,active,,BRPopulacaoTradicional,BRPopulacaoTradicional,"","ValueSet/BRPopulacaoTradicional"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRPosicaoIndividuo,1.1.0,active,,BRPosicaoIndividuo,BRPosicaoIndividuo,"","ValueSet/BRPosicaoIndividuo"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRPovoItinerante,1.1.0,active,,BRPovoItinerante,BRPovoItinerante,"","ValueSet/BRPovoItinerante"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRProcedencia,1.1.0,active,,BRProcedencia,BRProcedencia,"","ValueSet/BRProcedencia"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRProgramaSaude,1.1.0,active,,BRProgramaSaude,BRProgramaSaude,"","ValueSet/BRProgramaSaude"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRRacaCor,1.1.0,active,,BRRacaCor,BRRacaCor,"","ValueSet/BRRacaCor,ValueSet/BRObservationRestricaoIntervaloReferencia"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRRegistroOrigem,1.1.0,active,,BRRegistroOrigem,BRRegistroOrigem,"","ValueSet/BRRegistroOrigem"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRResponsabilidadeParticipante,1.1.0,active,,BRResponsabilidadeParticipante,BRResponsabilidadeParticipante,"","ValueSet/BRResponsabilidadeParticipante"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRResultadoQualitativoExame,1.1.0,active,,BRResultadoQualitativoExame,BRResultadoQualitativoExame,"","ValueSet/BRResultadoQualitativoHPV,ValueSet/BRResultadoQualitativoExame"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRServicoEspecializado,1.1.0,active,,BRServicoEspecializado,BRServicoEspecializado,"","ValueSet/BRServicoEspecializado"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRSubGrupoTabelaSUS,1.1.0,active,,BRSubGrupoTabelaSUS,BRSubGrupoTabelaSUS,"","ValueSet/BRCategoriaProcedimento,ValueSet/BRSubGrupoTabelaSUS,ValueSet/BRCategoriaExame"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTabelaSUS,1.1.0,active,,BRTabelaSUS,BRTabelaSUS,"","ValueSet/OCIOftalmo,ValueSet/OCIOnco,ValueSet/BRTabelaSUSOCI-IC,ValueSet/BRDispositivo-Medico,ValueSet/BRTabelaSUS,ValueSet/OCIOtorrino,ValueSet/OCIOrtopedia,ValueSet/BROCI-IC"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTerminologiaPatogeno,1.1.0,active,,BRTerminologiaPatogeno,BRTerminologiaPatogeno,"","ValueSet/BRTerminologiaPatogeno"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoAleitamentoMaterno,1.1.0,active,,BRTipoAleitamentoMaterno,BRTipoAleitamentoMaterno,"","ValueSet/BRTipoAleitamentoMaterno"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoAmostraGAL,1.1.0,active,,BRTipoAmostraGAL,BRTipoAmostraGAL,"","ValueSet/BRTipoAmostra"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoDeficiencia,1.1.0,active,,BRTipoDeficiencia,BRTipoDeficiencia,"","ValueSet/BRTipoDeficiencia"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoDocumento,1.1.0,active,,BRTipoDocumento,BRTipoDocumento,"","ValueSet/BRTipoDocumento"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoEstabelecimentoSaude,1.1.0,active,,BRTipoEstabelecimentoSaude,BRTipoEstabelecimentoSaude,"","ValueSet/BRTipoEstabelecimentoSaude"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoIdentificador,1.1.0,active,,BRTipoIdentificador,BRTipoIdentificador,"","ValueSet/BRTipoIdentificador,ValueSet/BRTipoDocumentoIndividuo,ValueSet/BRTipoIdentificadorProcedimento"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoLogradouro,1.1.0,active,,BRTipoLogradouro,BRTipoLogradouro,"","ValueSet/BRTipoLogradouro"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoObservacao,1.1.0,active,,BRTipoObservacao,BRTipoObservacao,"","ValueSet/BRTipoObservacao"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoParticipante,1.1.0,active,,BRTipoParticipante,BRTipoParticipante,"","ValueSet/BRTipoParticipante"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoResultadoAVIDEZ,1.1.0,active,,BRTipoResultadoAVIDEZ,BRTipoResultadoAVIDEZ,"","ValueSet/BRResultadoQualitativoExame"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoResultadoDTNT,1.1.0,active,,BRTipoResultadoDTNT,BRTipoResultadoDTNT,"","ValueSet/BRResultadoQualitativoExame"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoResultadoHISPT,1.1.0,active,,BRTipoResultadoHISPT,BRTipoResultadoHISPT,"","ValueSet/BRResultadoQualitativoExame"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoResultadoPRAU,1.1.0,active,,BRTipoResultadoPRAU,BRTipoResultadoPRAU,"","ValueSet/BRResultadoQualitativoExame"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoResultadoPSNG,1.1.0,active,,BRTipoResultadoPSNG,BRTipoResultadoPSNG,"","ValueSet/BRResultadoQualitativoExame"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoResultadoRGNR,1.1.0,active,,BRTipoResultadoRGNR,BRTipoResultadoRGNR,"","ValueSet/BRResultadoQualitativoExame"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoResultadoRSBAC,1.1.0,active,,BRTipoResultadoRSBAC,BRTipoResultadoRSBAC,"","ValueSet/BRResultadoQualitativoExame"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRTipoResultadoRSCUL,1.1.0,active,,BRTipoResultadoRSCUL,BRTipoResultadoRSCUL,"","ValueSet/BRResultadoQualitativoExame"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRUnidadeMedida,1.1.0,active,,BRUnidadeMedida,BRUnidadeMedida,"","ValueSet/BRUnidadeMedidaMedicamento"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRViaAdministracao,1.1.0,active,,BRViaAdministracao,BRViaAdministracao,"","ValueSet/BRViaAdministracao"
https://terminologia.saude.gov.br/fhir/CodeSystem/TipoConvenio,1.1.0,active,,TipoConvenio,TipoConvenio,"","ValueSet/TipoConvenio"
